"subjects"	"cluster.id"
"1"	"subject1"	11
"2"	"subject2"	1
"3"	"subject3"	13
"4"	"subject4"	11
"5"	"subject5"	10
"6"	"subject6"	14
"7"	"subject7"	7
"8"	"subject8"	11
"9"	"subject9"	14
"10"	"subject10"	3
"11"	"subject11"	4
"12"	"subject12"	10
"13"	"subject13"	3
"14"	"subject14"	12
"15"	"subject15"	9
"16"	"subject16"	15
"17"	"subject17"	5
"18"	"subject18"	6
"19"	"subject19"	13
"20"	"subject20"	14
"21"	"subject21"	5
"22"	"subject22"	12
"23"	"subject23"	15
"24"	"subject24"	11
"25"	"subject25"	11
"26"	"subject26"	6
"27"	"subject27"	3
"28"	"subject28"	11
"29"	"subject29"	2
"30"	"subject30"	14
"31"	"subject31"	8
"32"	"subject32"	11
"33"	"subject33"	12
"34"	"subject34"	7
"35"	"subject35"	5
"36"	"subject36"	15
"37"	"subject37"	14
"38"	"subject38"	2
"39"	"subject39"	8
"40"	"subject40"	8
"41"	"subject41"	12
"42"	"subject42"	2
"43"	"subject43"	1
"44"	"subject44"	12
"45"	"subject45"	10
"46"	"subject46"	10
"47"	"subject47"	7
"48"	"subject48"	4
"49"	"subject49"	5
"50"	"subject50"	11
"51"	"subject51"	7
"52"	"subject52"	6
"53"	"subject53"	14
"54"	"subject54"	5
"55"	"subject55"	12
"56"	"subject56"	15
"57"	"subject57"	2
"58"	"subject58"	7
"59"	"subject59"	2
"60"	"subject60"	2
"61"	"subject61"	14
"62"	"subject62"	13
"63"	"subject63"	9
"64"	"subject64"	2
"65"	"subject65"	5
"66"	"subject66"	15
"67"	"subject67"	8
"68"	"subject68"	14
"69"	"subject69"	13
"70"	"subject70"	10
"71"	"subject71"	6
"72"	"subject72"	5
"73"	"subject73"	14
"74"	"subject74"	11
"75"	"subject75"	1
"76"	"subject76"	10
"77"	"subject77"	7
"78"	"subject78"	12
"79"	"subject79"	11
"80"	"subject80"	15
"81"	"subject81"	9
"82"	"subject82"	5
"83"	"subject83"	4
"84"	"subject84"	4
"85"	"subject85"	15
"86"	"subject86"	6
