"methods"	"cancer"	"selectivity"	"nonZeroFacs"	"total_pathways"
"RGCCA"	"aml"	0.397755610972569	2	318
"MCIA"	"aml"	NA	0	0
"MOFA"	"aml"	0.494635193133047	2	460
"intNMF"	"aml"	0.24847250509165	4	732
"JIVE"	"aml"	0.486111111111111	2	173
"tICA"	"aml"	0.181741335587489	5	859
"UBMI"	"aml"	0.167893284268629	5	360
"RGCCA"	"breast"	0.352982954545455	5	991
"MCIA"	"breast"	0.502747252747253	1	182
"MOFA"	"breast"	0.445173383317713	3	949
"intNMF"	"breast"	0.24931833674165	4	1463
"JIVE"	"breast"	0.466135458167331	2	468
"tICA"	"breast"	0.231187810945274	4	1486
"UBMI"	"breast"	0.227493917274939	3	371
"RGCCA"	"colon"	0.371794871794872	3	897
"MCIA"	"colon"	NA	0	0
"MOFA"	"colon"	0.421985815602837	2	1070
"intNMF"	"colon"	0.264065708418891	5	1282
"JIVE"	"colon"	0.344600164880462	4	834
"tICA"	"colon"	0.189218622379526	5	1389
"UBMI"	"colon"	0.209970426700465	5	989
"RGCCA"	"kidney"	0.362435567010309	4	1121
"MCIA"	"kidney"	NA	0	0
"MOFA"	"kidney"	0.335413929040736	3	1019
"intNMF"	"kidney"	0.21264196054991	5	1422
"JIVE"	"kidney"	0.348958333333333	5	1068
"tICA"	"kidney"	0.171566427289048	5	1527
"UBMI"	"kidney"	0.150583657587549	5	382
"RGCCA"	"liver"	0.393535146228835	3	1532
"MCIA"	"liver"	0.502304147465438	1	217
"MOFA"	"liver"	0.318282344268338	4	1725
"intNMF"	"liver"	0.189686924493554	5	1234
"JIVE"	"liver"	0.35366506153023	3	1320
"tICA"	"liver"	0.15348716619134	5	1183
"UBMI"	"liver"	0.215836526181354	4	334
"RGCCA"	"melanoma"	0.427174975562072	2	873
"MCIA"	"melanoma"	0.478448275862069	2	553
"MOFA"	"melanoma"	0.312575210589651	4	1036
"intNMF"	"melanoma"	0.300973236009732	5	1236
"JIVE"	"melanoma"	0.280828516377649	5	1162
"tICA"	"melanoma"	0.192927484333035	5	1293
"UBMI"	"melanoma"	0.21911695631752	4	929
"RGCCA"	"ovarian"	0.414089347079038	3	1204
"MCIA"	"ovarian"	0.501420454545455	1	352
"MOFA"	"ovarian"	0.33365617433414	4	1376
"intNMF"	"ovarian"	0.22071129707113	4	1266
"JIVE"	"ovarian"	0.308948545861298	4	1378
"tICA"	"ovarian"	0.186214266631045	5	1392
"UBMI"	"ovarian"	0.216697502312673	5	932
"RGCCA"	"sarcoma"	0.500430663221361	1	1161
"MCIA"	"sarcoma"	0.5	1	564
"MOFA"	"sarcoma"	0.324492619926199	5	1403
"intNMF"	"sarcoma"	0.272790535838553	5	1567
"JIVE"	"sarcoma"	0.500470809792844	1	1062
"tICA"	"sarcoma"	0.209022338265158	4	1441
"UBMI"	"sarcoma"	0.502840909090909	1	176
