"methods"	"cancer"	"selectivity"	"nonZeroFacs"	"total_pathways"
"RGCCA"	"aml"	0.329545454545455	5	24
"MCIA"	"aml"	0.666666666666667	2	6
"MOFA"	"aml"	0.464285714285714	3	23
"intNMF"	"aml"	0.198019801980198	5	35
"JIVE"	"aml"	0.388888888888889	4	24
"tICA"	"aml"	0.15748031496063	5	35
"UBMI"	"aml"	0.666666666666667	1	3
"RGCCA"	"breast"	0.261538461538462	5	29
"MCIA"	"breast"	0.555555555555556	2	8
"MOFA"	"breast"	0.305555555555556	5	28
"intNMF"	"breast"	0.156934306569343	5	39
"JIVE"	"breast"	0.369047619047619	5	26
"tICA"	"breast"	0.162962962962963	5	39
"UBMI"	"breast"	NA	0	0
"RGCCA"	"colon"	0.355263157894737	3	24
"MCIA"	"colon"	0.666666666666667	2	6
"MOFA"	"colon"	0.321428571428571	4	23
"intNMF"	"colon"	0.135483870967742	5	37
"JIVE"	"colon"	0.342105263157895	5	22
"tICA"	"colon"	0.137254901960784	5	37
"UBMI"	"colon"	0.590909090909091	2	11
"RGCCA"	"kidney"	0.32258064516129	5	35
"MCIA"	"kidney"	0.666666666666667	2	6
"MOFA"	"kidney"	0.311475409836066	4	34
"intNMF"	"kidney"	0.140127388535032	5	39
"JIVE"	"kidney"	0.3	5	34
"tICA"	"kidney"	0.13719512195122	5	40
"UBMI"	"kidney"	NA	0	0
"RGCCA"	"liver"	0.330508474576271	4	35
"MCIA"	"liver"	0.5	2	8
"MOFA"	"liver"	0.286885245901639	5	30
"intNMF"	"liver"	0.140522875816993	5	38
"JIVE"	"liver"	0.243243243243243	5	31
"tICA"	"liver"	0.126506024096386	5	38
"UBMI"	"liver"	0.75	1	2
"RGCCA"	"melanoma"	0.281818181818182	5	26
"MCIA"	"melanoma"	0.75	1	2
"MOFA"	"melanoma"	0.293478260869565	4	24
"intNMF"	"melanoma"	0.17948717948718	5	37
"JIVE"	"melanoma"	0.220338983050847	5	21
"tICA"	"melanoma"	0.137254901960784	5	37
"UBMI"	"melanoma"	0.454545454545455	2	8
"RGCCA"	"ovarian"	0.375	5	25
"MCIA"	"ovarian"	0.454545454545455	2	8
"MOFA"	"ovarian"	0.333333333333333	4	22
"intNMF"	"ovarian"	0.157258064516129	5	34
"JIVE"	"ovarian"	0.26984126984127	5	29
"tICA"	"ovarian"	0.153846153846154	5	35
"UBMI"	"ovarian"	0.541666666666667	3	10
"RGCCA"	"sarcoma"	0.305555555555556	5	28
"MCIA"	"sarcoma"	0.666666666666667	1	3
"MOFA"	"sarcoma"	0.246031746031746	5	26
"intNMF"	"sarcoma"	0.18421052631579	5	37
"JIVE"	"sarcoma"	0.326530612244898	5	27
"tICA"	"sarcoma"	0.140522875816993	5	38
"UBMI"	"sarcoma"	NA	0	0
