"methods"	"cancer"	"selectivity"	"nonZeroFacs"	"total_pathways"
"RGCCA"	"aml"	0.467391304347826	3	40
"MCIA"	"aml"	NA	0	0
"MOFA"	"aml"	0.448717948717949	2	33
"intNMF"	"aml"	0.263358778625954	4	69
"JIVE"	"aml"	0.545454545454545	1	11
"tICA"	"aml"	0.188442211055276	5	71
"UBMI"	"aml"	0.192307692307692	5	50
"RGCCA"	"breast"	0.341346153846154	3	68
"MCIA"	"breast"	0.37719298245614	2	41
"MOFA"	"breast"	0.391089108910891	3	76
"intNMF"	"breast"	0.267647058823529	4	88
"JIVE"	"breast"	0.401234567901235	2	63
"tICA"	"breast"	0.212406015037594	5	111
"UBMI"	"breast"	0.185897435897436	4	25
"RGCCA"	"colon"	0.375	3	60
"MCIA"	"colon"	NA	0	0
"MOFA"	"colon"	0.313131313131313	4	58
"intNMF"	"colon"	0.321138211382114	5	74
"JIVE"	"colon"	0.361111111111111	4	62
"tICA"	"colon"	0.214673913043478	5	74
"UBMI"	"colon"	0.136752136752137	5	155
"RGCCA"	"kidney"	0.331288343558282	4	104
"MCIA"	"kidney"	NA	0	0
"MOFA"	"kidney"	0.329192546583851	4	102
"intNMF"	"kidney"	0.239754098360656	5	113
"JIVE"	"kidney"	0.422018348623853	4	88
"tICA"	"kidney"	0.189003436426117	5	106
"UBMI"	"kidney"	0.265402843601896	5	107
"RGCCA"	"liver"	0.36144578313253	4	116
"MCIA"	"liver"	0.533333333333333	1	15
"MOFA"	"liver"	0.283482142857143	5	122
"intNMF"	"liver"	0.189024390243902	5	89
"JIVE"	"liver"	0.291411042944785	3	92
"tICA"	"liver"	0.155339805825243	5	92
"UBMI"	"liver"	0.197530864197531	4	28
"RGCCA"	"melanoma"	0.420454545454545	2	35
"MCIA"	"melanoma"	0.527777777777778	2	17
"MOFA"	"melanoma"	0.297872340425532	3	53
"intNMF"	"melanoma"	0.307692307692308	4	61
"JIVE"	"melanoma"	0.268181818181818	4	55
"tICA"	"melanoma"	0.181451612903226	5	86
"UBMI"	"melanoma"	0.183698296836983	5	146
"RGCCA"	"ovarian"	0.362637362637363	5	62
"MCIA"	"ovarian"	0.6	1	5
"MOFA"	"ovarian"	0.346153846153846	4	77
"intNMF"	"ovarian"	0.223404255319149	5	59
"JIVE"	"ovarian"	0.4	3	61
"tICA"	"ovarian"	0.178030303030303	4	44
"UBMI"	"ovarian"	0.155670103092784	5	146
"RGCCA"	"sarcoma"	0.476470588235294	2	79
"MCIA"	"sarcoma"	NA	0	0
"MOFA"	"sarcoma"	0.277027027027027	5	77
"intNMF"	"sarcoma"	0.34016393442623	4	81
"JIVE"	"sarcoma"	0.446078431372549	3	88
"tICA"	"sarcoma"	0.226530612244898	5	107
"UBMI"	"sarcoma"	0.154320987654321	5	20
