,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,HDSigDB_Mouse_2021,eVLMC Embryonic Vascular And Leptomeningeal Cell-Enriched Genes PMID30078729,71/3824,5.8969196433072785e-15,1.0679321474029482e-11,0,0,3.806341593391953,124.71229400565844,RPL4;YWHAE;COX7B;TNFAIP8;SPARC;ARL6IP1;RPLP1;RPL8;ACTB;CCND3;CSRP3;TUBB5;MDK;FTH1;GRB10;TMPO;TLE4;EIF5A;ACTR2;RPS9;ANXA2;PEG3;CSNK2A1;RPS5;COG4;RPL22;PDIA6;SENP3;COPZ1;EEF1A1;EEF1D;NDUFS4;FKBP9;PPIG;PFN1;DCTPP1;SNRPA;BEX1;AHNAK;CRABP2;CRABP1;BTF3L4;SLC41A1;CRIP2;G3BP1;IGF2BP1;POLR2G;MEST;UBQLN4;RPL41;RRM1;IGF2;HSPE1;RPL34-PS1;COX6C;ZWINT;DLK1;RPS26;DRAP1;H19;ARMC10;RPA3;NEDD4;SERBP1;VPS41;NDUFAB1;PMP22;RPS20;VIM;RPS21;EZH2
1,HDSigDB_Mouse_2021,Top Endothelial Cell-Expressed Genes In Humans And Mice PMID29892006,36/1077,2.3840114673293935e-14,2.158722383666766e-11,0,0,5.655832602430773,177.40880170852495,RPL4;YWHAE;COX7B;SPARC;AHNAK;ARL6IP1;RPLP1;SLC2A1;CRIP2;RPL8;ACTB;CDH5;TUBB5;UBB;FTH1;PRDX1;KDR;RPL13;ACTR2;RPS9;RPL41;ANXA2;RPS5;RPL22;COX6C;PDIA6;EEF1A1;NCL;NEDD4;SERBP1;PMP22;ESAM;RPS20;VIM;CYTB;CALM2
2,HDSigDB_Mouse_2021,NP1a Neural Progenitor Cell-Enriched Genes PMID30078729,56/2749,5.303466943253199e-13,3.2015262114105147e-10,0,0,3.755295405241659,106.1443464114182,RPL4;YWHAE;COX7B;SPARC;ARL6IP1;RPLP1;RPL8;ACTB;CSRP3;TUBB5;MDK;FTH1;GRB10;TMPO;TLE4;EIF5A;ACTR2;RPS9;PEG3;CSNK2A1;RPS5;RPL22;PDIA6;CDC25A;COPZ1;EEF1A1;EEF1D;NDUFS4;PPIG;PFN1;SNRPA;BEX1;BTF3L4;CRIP2;G3BP1;IGF2BP1;POLR2G;MEST;RPL41;IGF2;HSPE1;RPL34-PS1;COX6C;ZWINT;RPS26;DRAP1;H19;RPA3;NEDD4;SERBP1;VPS41;NDUFAB1;RPS20;VIM;RPS21;EZH2
3,HDSigDB_Mouse_2021,Ribosome Gene Module From Human Brain PMID20616000,12/96,7.988639338569669e-12,3.170725962320535e-09,0,0,20.313463514902363,519.0699467291402,RPL4;EEF1A1;RPS9;RPL41;RPLP1;RPL22;RPL13;RPS20;RPL8;RPL29;HSPE1;RPS21
4,HDSigDB_Mouse_2021,PLC Pericyte Lineage Cell-Enriched Genes PMID30078729,68/4104,9.177988622470216e-12,3.170725962320535e-09,0,0,3.2099179672107656,81.57753905836331,RPL4;YWHAE;COX7B;SPARC;ARL6IP1;RPLP1;RPL8;ACTB;CCND3;CSRP3;TUBB5;MDK;FTH1;GRB10;TMPO;TLE4;EIF5A;ACTR2;RPS9;ANXA2;PEG3;CSNK2A1;RPS5;RPL22;PDIA6;COPZ1;EEF1A1;EEF1D;NDUFS4;FKBP9;PPIG;PFN1;RAPGEF5;DCTPP1;BEX1;AHNAK;CRABP2;BTF3L4;FURIN;CRIP2;OSGEP;G3BP1;IGF2BP1;ANO10;MCMBP;POLR2G;MEST;RPL41;IGF2;HSPE1;RPL34-PS1;COX6C;ZWINT;DLK1;RPS26;DRAP1;H19;ARMC10;RPA3;NEDD4;SERBP1;VPS41;NDUFAB1;ESAM;RPS20;VIM;RPS21;EZH2
5,HDSigDB_Mouse_2021,NP1b Neural Progenitor Cell-Enriched Genes PMID30078729,74/4741,1.0504889991122702e-11,3.170725962320535e-09,0,0,3.126311014890402,79.03057967465375,RPL4;YWHAE;COX7B;TNFAIP8;SPARC;ARL6IP1;RPLP1;SLC2A1;CPOX;RPL8;ACTB;CSRP3;TUBB5;MDK;FTH1;KDR;GRB10;TMPO;TLE4;EIF5A;ACTR2;RPS9;ANXA2;PEG3;CSNK2A1;RPS5;COG4;RPL22;PDIA6;SENP3;CDC25A;COPZ1;EEF1A1;DKC1;EEF1D;SPECC1L;NDUFS4;FKBP9;PPIG;PFN1;SNRPA;BEX1;AHNAK;CRABP2;DHX8;BTF3L4;CRIP2;G3BP1;IGF2BP1;MCMBP;POLR2G;MEST;CNNM3;UBQLN4;RPL41;RRM1;WDR18;IGF2;HSPE1;RPL34-PS1;COX6C;ZWINT;RPS26;DRAP1;ARMC10;RPA3;NEDD4;SERBP1;VPS41;NDUFAB1;RPS20;VIM;RPS21;EZH2
6,HDSigDB_Mouse_2021,pnVLMC Post-Natal Vascular And Leptomeningeal Cell-Enriched Genes PMID30078729,65/3861,1.832095333218847e-11,4.739892354941902e-09,0,0,3.1962806626314113,79.02156921735141,RPL4;YWHAE;COX7B;TNFAIP8;SPARC;ARL6IP1;RPLP1;RPL8;ACTB;CDH5;CSRP3;TUBB5;MDK;FTH1;GRB10;TMPO;EIF5A;ACTR2;RPS9;ANXA2;PEG3;CSNK2A1;RPS5;RPL22;PDIA6;CDC25A;COPZ1;EEF1A1;DKC1;EEF1D;SPECC1L;NDUFS4;FKBP9;PPIG;PFN1;SNRPA;BEX1;AHNAK;CRABP2;DHX8;BTF3L4;SLC41A1;G3BP1;IGF2BP1;MCMBP;POLR2G;MEST;RPL41;IGF2;HSPE1;RPL34-PS1;COX6C;ZWINT;RPS26;ARMC10;RPA3;NEDD4;SERBP1;VPS41;NDUFAB1;PMP22;RPS20;VIM;RPS21;EZH2
7,HDSigDB_Mouse_2021,VLMC Vascular And Leptomeningeal Cell-Enriched Genes PMID30078729,45/2194,2.0541369051897083e-10,4.650052419123202e-08,0,0,3.496580243553386,77.99470201614389,RPL4;YWHAE;COX7B;SPARC;AHNAK;ARL6IP1;RPLP1;BTF3L4;SLC41A1;CRIP2;RPL8;ACTB;CCND3;CSRP3;TUBB5;MDK;FTH1;G3BP1;MEST;ACTR2;RPS9;RPL41;ANXA2;PEG3;CSNK2A1;RPS5;RPL22;IGF2;HSPE1;RPL34-PS1;COX6C;PDIA6;COPZ1;EEF1A1;RPS26;EEF1D;NEDD4;SERBP1;NDUFS4;PMP22;RPS20;FKBP9;VIM;PFN1;RPS21
8,HDSigDB_Mouse_2021,NP2 Neural Progenitor Cell-Enriched Genes PMID30078729,71/4741,2.9587352045554077e-10,5.9536327282776046e-08,0,0,2.884660064239829,63.29258334465602,RPL4;YWHAE;COX7B;SPARC;ARL6IP1;RPLP1;RPL8;ACTB;CSRP3;TUBB5;MDK;FTH1;GRB10;TMPO;TRIM67;TLE4;EIF5A;ACTR2;RPS9;ANXA2;PEG3;CSNK2A1;RPS5;RPL22;PDIA6;SENP3;COPZ1;EEF1A1;FRMD5;DKC1;EEF1D;SPECC1L;NDUFS4;PPIG;PFN1;DCTPP1;SNRPA;BEX1;CRABP2;DHX8;CRABP1;BTF3L4;CRIP2;G3BP1;IGF2BP1;MCMBP;POLR2G;MEST;UBQLN4;RPL41;RRM1;IGF2;HSPE1;RPL34-PS1;COX6C;ZWINT;DLK1;RPS26;DRAP1;H19;ARMC10;RPA3;NEDD4;SERBP1;VPS41;NDUFAB1;RPS20;HOXD4;VIM;RPS21;EZH2
9,HDSigDB_Mouse_2021,OPC1cyc Oligodendrocyte Precursor Cell-Enriched Genes PMID30078729,53/3014,8.077889844457381e-10,1.4629058508312318e-07,0,0,3.0845343203137383,64.58003216401804,RPL4;YWHAE;COX7B;SPARC;ARL6IP1;RPLP1;RPL8;ACTB;CSRP3;TUBB5;MDK;FTH1;TMPO;EIF5A;ACTR2;RPS9;PEG3;CSNK2A1;RPS5;RPL22;PDIA6;COPZ1;ETV5;EEF1A1;DKC1;EEF1D;NDUFS4;PPIG;PFN1;DCTPP1;BEX1;BTF3L4;G3BP1;ANO10;POLR2G;RPL41;RRM1;IGF2;VEGFB;HSPE1;RPL34-PS1;COX6C;ZWINT;RPS26;RPA3;NEDD4;SERBP1;NDUFAB1;PMP22;RPS20;MAN2B1;RPS21;EZH2
