,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
1835,KEGG_2019_Mouse,Ribosome,20/170,1.046636816285995e-16,1.5280897517775527e-14,0,0,15.98861788617886,588.3136581941345,RPL4;RPL41;RPL3;RPL32;RPS8;RPL23;RPS5;RPLP1;RPL22;RPLP0;RPL8;RPL34-PS1;RPS15;RPS26;RPS14;RPLP2;RPL26;RPL29;RPS21;RPL19
1836,KEGG_2019_Mouse,Thermogenesis,9/231,0.00029774760710798797,0.0217355753188831,0,0,4.539150579150579,36.85456364154198,ATF2;ATP5B;COX7B;NDUFA5;RHEB;ATP5K;CYTB;COX6C;ACTB
1837,KEGG_2019_Mouse,Estrogen signaling pathway,6/134,0.0015168168197642,0.0553638139213956,0,0,5.184691011235955,33.654562145433744,ATF2;HSPA8;HSP90AB1;KRT18;FKBP4;MMP9
1838,KEGG_2019_Mouse,Oxidative phosphorylation,6/134,0.0015168168197642,0.0553638139213956,0,0,5.184691011235955,33.654562145433744,ATP5B;COX7B;NDUFA5;ATP5K;CYTB;COX6C
1839,KEGG_2019_Mouse,Parkinson disease,6/144,0.002184125569355,0.0615883048385273,0,0,4.806546165119688,29.447496033275716,ATP5B;COX7B;NDUFA5;CYTB;COX6C;UBE2J1
1840,KEGG_2019_Mouse,Longevity regulating pathway,5/102,0.0025310262262408,0.0615883048385273,0,0,5.678454184184761,33.952218239054886,ATF2;HSPA8;RHEB;CRYAB;SOD1
1841,KEGG_2019_Mouse,Prion diseases,3/34,0.0037168729828161,0.0775233507844506,0,0,10.578328283728393,59.18439864755915,STIP1;HSPA5;SOD1
1842,KEGG_2019_Mouse,Tight junction,6/167,0.0045377757589015,0.0828144075999523,0,0,4.115081303649941,22.202173496187196,TUBA1B;DLG3;PPP2R1A;HSPA4;NEDD4;ACTB
1843,KEGG_2019_Mouse,Cardiac muscle contraction,4/78,0.0058253734725048,0.0945005029984121,0,0,5.9285285285285285,30.505434241387817,COX7B;ACTC1;CYTB;COX6C
1844,KEGG_2019_Mouse,Huntington disease,6/192,0.0087984944490738,0.1271710612853257,0,0,3.557448350851758,16.838024379500247,ATP5B;COX7B;NDUFA5;CYTB;COX6C;SOD1
1845,KEGG_2019_Mouse,Antigen processing and presentation,4/90,0.0095869478619198,0.1271710612853257,0,0,5.098191214470284,23.693092722593423,HSPA8;HSP90AB1;HSPA5;HSPA4
1846,KEGG_2019_Mouse,Fluid shear stress and atherosclerosis,5/143,0.0104524159960541,0.1271710612853257,0,0,3.983078293255607,18.166509939199926,CDH5;HSP90AB1;KDR;MMP9;ACTB
1847,KEGG_2019_Mouse,Legionellosis,3/58,0.0163244764979972,0.1707773877423027,0,0,5.9550979407333,24.505762030694243,EEF1A1;EEF1G;HSPA8
1848,KEGG_2019_Mouse,Proximal tubule bicarbonate reclamation,2/22,0.0172324556340268,0.1707773877423027,0,0,10.876923076923076,44.17075734548314,CAR2;MDH1
1849,KEGG_2019_Mouse,Protein processing in endoplasmic reticulum,5/163,0.0175456220283187,0.1707773877423027,0,0,3.475355349692384,14.05069075132757,HSPA8;HSP90AB1;HSPA5;CRYAB;UBE2J1
1850,KEGG_2019_Mouse,Leukocyte transendothelial migration,4/115,0.0217617063907973,0.1909953337675744,0,0,3.944944944944945,15.099684847303212,CDH5;MYL7;MMP9;ACTB
1851,KEGG_2019_Mouse,Alzheimer disease,5/175,0.0230443185468278,0.1909953337675744,0,0,3.2280644101215907,12.170887532596693,ATP5B;COX7B;NDUFA5;CYTB;COX6C
1852,KEGG_2019_Mouse,Necroptosis,5/176,0.0235473699165502,0.1909953337675744,0,0,3.2090234898232546,12.02979839344076,HSP90AB1;PARP1;H2AFZ;FTH1;H2AFX
1853,KEGG_2019_Mouse,Base excision repair,2/35,0.0410729930121798,0.2998328489889131,0,0,6.587745587745588,21.030748512887623,PARP1;POLE
1854,KEGG_2019_Mouse,DNA replication,2/35,0.0410729930121798,0.2998328489889131,0,0,6.587745587745588,21.030748512887623,RNASEH2C;POLE
1855,KEGG_2019_Mouse,Gap junction,3/86,0.0450022462387044,0.3128727595643265,0,0,3.9405578113559208,12.2198387206556,GJA1;TUBA1B;TUBB5
1856,KEGG_2019_Mouse,PI3K-Akt signaling pathway,7/357,0.0475380945795983,0.3154800822100621,0,0,2.19954802259887,6.700315751712582,ATF2;HSP90AB1;PPP2R1A;RHEB;KDR;IGF2;THBS3
1857,KEGG_2019_Mouse,Non-alcoholic fatty liver disease (NAFLD),4/151,0.0510068087335586,0.3237823510912853,0,0,2.9733938019652304,8.84821383007384,COX7B;NDUFA5;CYTB;COX6C
1858,KEGG_2019_Mouse,mRNA surveillance pathway,3/96,0.0588498796362557,0.3580034344538892,0,0,3.5150597041525575,9.95733982711542,PPP2R1A;PCF11;GSPT1
1859,KEGG_2019_Mouse,Glucagon signaling pathway,3/102,0.0680087752156177,0.3971712472592075,0,0,3.3010212623472293,8.87353643922781,ATF2;PPP4C;SLC2A1
1860,KEGG_2019_Mouse,Malaria,2/49,0.0747374715273254,0.419679647807289,0,0,4.62216506897358,11.988850127069878,HBA-A2;THBS3
1861,KEGG_2019_Mouse,Phagosome,4/180,0.0849370167454428,0.4592890535123943,0,0,2.4797979797979797,6.114798135452131,TUBA1B;TUBB5;ACTB;THBS3
1862,KEGG_2019_Mouse,Thyroid hormone signaling pathway,3/115,0.0898911124465317,0.468717943471201,0,0,2.91594317284925,7.024962581971318,RHEB;SLC2A1;ACTB
1863,KEGG_2019_Mouse,AMPK signaling pathway,3/126,0.1103973428464099,0.5417861251061772,0,0,2.6536854871311144,5.8478450112287,PPP2R1A;RHEB;FASN
1864,KEGG_2019_Mouse,Focal adhesion,4/199,0.1118509470504317,0.5417861251061772,0,0,2.236011396011396,4.898180009084742,MYL7;KDR;ACTB;THBS3
1865,KEGG_2019_Mouse,Proteoglycans in cancer,4/203,0.1179502571321314,0.5417861251061772,0,0,2.1906197654941373,4.682432865902769,KDR;IGF2;MMP9;ACTB
1866,KEGG_2019_Mouse,Fatty acid biosynthesis,1/14,0.1214109519607804,0.5417861251061772,0,0,8.324085750315259,17.55195237329604,FASN
1867,KEGG_2019_Mouse,Ubiquitin mediated proteolysis,3/138,0.1345943613862425,0.5417861251061772,0,0,2.416329036218539,4.8459231251095565,NEDD4;ANAPC1;UBE2J1
1868,KEGG_2019_Mouse,MAPK signaling pathway,5/294,0.1354645029282482,0.5417861251061772,0,0,1.8873596102917016,3.772918007600099,ATF2;HSPA8;KDR;IGF2;NF1
1869,KEGG_2019_Mouse,Apoptosis,3/141,0.1409103184877123,0.5417861251061772,0,0,2.363439827047802,4.631471440819039,TUBA1B;PARP1;ACTB
1870,KEGG_2019_Mouse,Arrhythmogenic right ventricular cardiomyopathy (ARVC),2/72,0.1420930983408813,0.5417861251061772,0,0,3.0998430141287283,6.0486394014108695,GJA1;ACTB
1871,KEGG_2019_Mouse,Bile secretion,2/72,0.1420930983408813,0.5417861251061772,0,0,3.0998430141287283,6.0486394014108695,CAR2;SLC2A1
1872,KEGG_2019_Mouse,Thyroid hormone synthesis,2/73,0.1452565053066476,0.5417861251061772,0,0,3.05602847856369,5.895855463698273,ATF2;HSPA5
1873,KEGG_2019_Mouse,Nitrogen metabolism,1/17,0.1454554333771828,0.5417861251061772,0,0,6.762295081967213,13.03693089967284,CAR2
1874,KEGG_2019_Mouse,Gastric acid secretion,2/74,0.1484345548236101,0.5417861251061772,0,0,3.0134310134310134,5.748454529071293,CAR2;ACTB
1875,KEGG_2019_Mouse,Adrenergic signaling in cardiomyocytes,3/148,0.1560209887610117,0.5555869355879929,0,0,2.24854257953896,4.177263114906433,ATF2;ACTC1;PPP2R1A
1876,KEGG_2019_Mouse,Hippo signaling pathway,3/159,0.180711140222426,0.5846211158396297,0,0,2.0888227794305143,3.573673800577206,DLG3;PPP2R1A;ACTB
1877,KEGG_2019_Mouse,Hypertrophic cardiomyopathy (HCM),2/86,0.1875275742050203,0.5846211158396297,0,0,2.5813710099424387,4.320774642174999,ACTC1;ACTB
1878,KEGG_2019_Mouse,Insulin secretion,2/86,0.1875275742050203,0.5846211158396297,0,0,2.5813710099424387,4.320774642174999,ATF2;SLC2A1
1879,KEGG_2019_Mouse,Human T-cell leukemia virus 1 infection,4/245,0.1897329768696153,0.5846211158396297,0,0,1.8049792531120332,3.000123848075236,ATF2;CHEK2;SLC2A1;ANAPC1
1880,KEGG_2019_Mouse,Hepatitis B,3/163,0.1899406710603707,0.5846211158396297,0,0,2.0361878453038673,3.3821966120196603,ATF2;DDX3X;MMP9
1881,KEGG_2019_Mouse,Viral myocarditis,2/87,0.190850463478233,0.5846211158396297,0,0,2.5508726567550095,4.224921282715119,ACTB;EIF4G2
1882,KEGG_2019_Mouse,Dilated cardiomyopathy (DCM),2/90,0.2008649316260874,0.5846211158396297,0,0,2.4635364635364634,3.9542780012305463,ACTC1;ACTB
1883,KEGG_2019_Mouse,Progesterone-mediated oocyte maturation,2/90,0.2008649316260874,0.5846211158396297,0,0,2.4635364635364634,3.9542780012305463,HSP90AB1;ANAPC1
1884,KEGG_2019_Mouse,Influenza A,3/168,0.2016426031144622,0.5846211158396297,0,0,1.973982923154194,3.160856816389663,ATF2;HSPA8;ACTB
1885,KEGG_2019_Mouse,IL-17 signaling pathway,2/91,0.2042169651220624,0.5846211158396297,0,0,2.4357328065193236,3.869337656386886,HSP90AB1;MMP9
1886,KEGG_2019_Mouse,Collecting duct acid secretion,1/27,0.2209750692795838,0.6168548040686893,0,0,4.1593106347204705,6.279333694392583,CAR2
1887,KEGG_2019_Mouse,Prostate cancer,2/97,0.224447022905609,0.6168548040686893,0,0,2.281203007518797,3.4083809496484343,HSP90AB1;MMP9
1888,KEGG_2019_Mouse,Protein export,1/28,0.2281517768473234,0.6168548040686893,0,0,4.005059704513257,5.918453683206121,HSPA5
1889,KEGG_2019_Mouse,Endocytosis,4/269,0.2357527246780453,0.6216196023754829,0,0,1.639496855345912,2.3690267222394303,SH3GLB1;HSPA8;NEDD4;SNX5
1890,KEGG_2019_Mouse,HIF-1 signaling pathway,2/104,0.2482255052022622,0.6216196023754829,0,0,2.1238957121310063,2.9594737737527383,SLC2A1;ALDOA
1891,KEGG_2019_Mouse,Glyoxylate and dicarboxylate metabolism,1/31,0.2492897378575591,0.6216196023754829,0,0,3.604007285974499,5.006468710309246,MDH1
1892,KEGG_2019_Mouse,Citrate cycle (TCA cycle),1/32,0.2562069838106194,0.6216196023754829,0,0,3.487572712850344,4.749270605137596,MDH1
1893,KEGG_2019_Mouse,Pentose phosphate pathway,1/32,0.2562069838106194,0.6216196023754829,0,0,3.487572712850344,4.749270605137596,ALDOA
1894,KEGG_2019_Mouse,SNARE interactions in vesicular transport,1/33,0.2630608355744455,0.6216196023754829,0,0,3.378415300546448,4.511434303342084,YKT6
1895,KEGG_2019_Mouse,TNF signaling pathway,2/110,0.268674702109534,0.6216196023754829,0,0,2.005291005291005,2.635461558417725,ATF2;MMP9
1896,KEGG_2019_Mouse,Fructose and mannose metabolism,1/35,0.2765806625581851,0.6216196023754829,0,0,3.1793635486981677,4.086285818641274,ALDOA
1897,KEGG_2019_Mouse,Alcoholism,3/199,0.2771829512566887,0.6216196023754829,0,0,1.6591498477844175,2.128817866961119,ATF2;H2AFZ;H2AFX
1898,KEGG_2019_Mouse,Ribosome biogenesis in eukaryotes,2/115,0.2857130614453233,0.6216196023754829,0,0,1.9160750753671107,2.4003961095638333,TCOF1;DKC1
1899,KEGG_2019_Mouse,Oocyte meiosis,2/116,0.2891170906530217,0.6216196023754829,0,0,1.8991710044341623,2.3567259583232465,PPP2R1A;ANAPC1
1900,KEGG_2019_Mouse,Pyruvate metabolism,1/38,0.2963992231557968,0.6216196023754829,0,0,2.9211342490031016,3.552239480205949,MDH1
1901,KEGG_2019_Mouse,African trypanosomiasis,1/39,0.3028846625415781,0.6216196023754829,0,0,2.8441184929536956,3.3970242223854465,HBA-A2
1902,KEGG_2019_Mouse,Ferroptosis,1/40,0.3093106442020747,0.6216196023754829,0,0,2.7710522628555414,3.2515781802284343,FTH1
1903,KEGG_2019_Mouse,"Glycine, serine and threonine metabolism",1/40,0.3093106442020747,0.6216196023754829,0,0,2.7710522628555414,3.2515781802284343,ALAS2
1904,KEGG_2019_Mouse,Cell cycle,2/123,0.3128802548616353,0.6216196023754829,0,0,1.7886658795749706,2.078313012942459,CHEK2;ANAPC1
1905,KEGG_2019_Mouse,Bladder cancer,1/41,0.3156777103219463,0.6216196023754829,0,0,2.7016393442622952,3.11508064155438,MMP9
1906,KEGG_2019_Mouse,Porphyrin and chlorophyll metabolism,1/41,0.3156777103219463,0.6216196023754829,0,0,2.7016393442622952,3.11508064155438,ALAS2
1907,KEGG_2019_Mouse,Nucleotide excision repair,1/43,0.3282372398974537,0.6216196023754829,0,0,2.5727296383034086,2.866068771920935,POLE
1908,KEGG_2019_Mouse,Hedgehog signaling pathway,1/44,0.3344307632849017,0.6216196023754829,0,0,2.5127716355318337,2.7523026132152824,SUFU
1909,KEGG_2019_Mouse,Mineral absorption,1/44,0.3344307632849017,0.6216196023754829,0,0,2.5127716355318337,2.7523026132152824,FTH1
1910,KEGG_2019_Mouse,Autophagy,2/130,0.3364726134022502,0.6216196023754829,0,0,1.6902472527472527,1.8410824157287715,SH3GLB1;RHEB
1911,KEGG_2019_Mouse,Relaxin signaling pathway,2/131,0.3398247060632303,0.6216196023754829,0,0,1.6770593747337934,1.810092721302234,ATF2;MMP9
1912,KEGG_2019_Mouse,Spliceosome,2/132,0.3431716427000014,0.6216196023754829,0,0,1.6640743871513102,1.7797683950205914,HSPA8;TXNL4A
1913,KEGG_2019_Mouse,Proteasome,1/46,0.3466479408898226,0.6216196023754829,0,0,2.400850030358227,2.543569985648092,POMP
1914,KEGG_2019_Mouse,Ether lipid metabolism,1/47,0.3526726264840705,0.6216196023754829,0,0,2.3485388453314324,2.447682544396886,LPCAT4
1915,KEGG_2019_Mouse,Dopaminergic synapse,2/135,0.3531796521833737,0.6216196023754829,0,0,1.626291002230852,1.692608582708384,ATF2;PPP2R1A
1916,KEGG_2019_Mouse,Cocaine addiction,1/48,0.3586420562903447,0.6216196023754829,0,0,2.298453668178119,2.356904369090125,ATF2
1917,KEGG_2019_Mouse,Ras signaling pathway,3/233,0.3625148066437809,0.6216196023754829,0,0,1.4114340619745376,1.4321679713338766,KDR;IGF2;NF1
1918,KEGG_2019_Mouse,Notch signaling pathway,1/49,0.3645567344401912,0.6216196023754829,0,0,2.250455373406193,2.2708739566588165,JAG2
1919,KEGG_2019_Mouse,Insulin signaling pathway,2/139,0.3664404884916182,0.6216196023754829,0,0,1.5784872062244324,1.5846735324046464,RHEB;FASN
1920,KEGG_2019_Mouse,Pathways in cancer,6/535,0.3700694124455166,0.6216196023754829,0,0,1.2289670992544763,1.2216727982145223,JAG2;HSP90AB1;SUFU;IGF2;SLC2A1;MMP9
1921,KEGG_2019_Mouse,Cysteine and methionine metabolism,1/50,0.370417160319637,0.6216196023754829,0,0,2.204416192706591,2.189261819239239,MDH1
1922,KEGG_2019_Mouse,Systemic lupus erythematosus,2/143,0.3795964710211807,0.6266143333809564,0,0,1.5333956823318526,1.4853183743945215,H2AFZ;H2AFX
