,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
1939,Mouse_Gene_Atlas,embryonic stem line Bruce4 p13,21/876,2.7630317179932027e-06,0.0001961752519775174,0,0,3.588609986504723,45.93127246106534,TLE4;ANXA2;PEG3;DHX8;WDR18;CCDC58;2700094K13RIK;CCNF;SLC2A3;SENP3;ETV5;DHODH;DKC1;ZNHIT3;MDK;NCL;NDUFAB1;IGF2BP1;TSR1;DCTPP1;SNRPA
1940,Mouse_Gene_Atlas,embryonic stem line V26 2 p16,17/728,3.68766658607043e-05,0.001309121638055,0,0,3.4148456032075907,34.858510234335334,TLE4;DHX8;WDR18;CCDC58;2700094K13RIK;CCNF;SLC2A3;CDC25A;ETV5;DHODH;DKC1;ZNHIT3;MDK;NCL;IGF2BP1;TSR1;DCTPP1
1941,Mouse_Gene_Atlas,heart,12/568,0.00128227009182,0.0303470588397416,0,0,2.995652398944154,19.948418576552573,FRMD5;CSRP3;MYL7;ACTC1;EEF1D;NDUFS4;NDUFAB1;VEGFB;CRIP2;COX6C;PRRT4;1110002N22RIK
1942,Mouse_Gene_Atlas,umbilical cord,6/208,0.0050375143618477,0.0894158799227969,0,0,4.024650051212018,21.293789541502665,H19;PEG3;HBA-X;GRB10;IGF2;MEST
1943,Mouse_Gene_Atlas,osteoblast day14,7/301,0.0079966477244859,0.1135523976876998,0,0,3.2333002645502646,15.612743232261224,H19;SPARC;KDELC2;GRB10;IGF2;RPS20;FKBP9
1944,Mouse_Gene_Atlas,osteoblast day21,6/264,0.0152184469939448,0.1800849560950135,0,0,3.142101042502005,13.15046886425447,H19;SPARC;MDK;KDELC2;IGF2;FKBP9
1945,Mouse_Gene_Atlas,lung,7/354,0.0181464465159589,0.1840568146618695,0,0,2.732028498238873,10.953468642675247,CDH5;TSPAN18;SPECC1L;KDR;ESAM;RAPGEF5;RASIP1
1946,Mouse_Gene_Atlas,spleen,3/100,0.0401225074756247,0.3560872538461699,0,0,4.127612148230705,13.273648693926717,PEG3;ABI3;MAN2B1
1947,Mouse_Gene_Atlas,mega erythrocyte progenitor,8/562,0.0634446042005949,0.5005074331380266,0,0,1.9484486632501072,5.373018902999348,NCL;WDR18;SERBP1;TWISTNB;CPOX;RPS21;OSGEP;DHODH
1948,Mouse_Gene_Atlas,mIMCD-3,5/300,0.0774661045020514,0.5500093419645655,0,0,2.2700255398188993,5.806531923675178,CSNK2A1;RPS20;POLR2G;ZWINT;TMPO
1949,Mouse_Gene_Atlas,placenta,6/411,0.0917574950619206,0.5922529226723967,0,0,1.9866155810983397,4.745242105966576,CDH5;H19;KRT18;SLC2A1;ESAM;PDIA6
1950,Mouse_Gene_Atlas,adipose brown,6/456,0.1318192397886787,0.779930502083016,0,0,1.783816091954023,3.6145888064699663,SLC25A19;COG4;1190002H23RIK;TSPAN18;NDUFS4;NDUFAB1
1951,Mouse_Gene_Atlas,lymph nodes,2/90,0.1480329250111025,0.8084875135221753,0,0,3.0141854789505795,5.758060503151016,ABI3;DOCK8
1952,Mouse_Gene_Atlas,hypothalamus,4/296,0.1857960318995432,0.942251304633398,0,0,1.8224769359798711,3.067421518934066,PEG3;FLYWCH1;ZWINT;DLK1
1953,Mouse_Gene_Atlas,bone marrow,5/413,0.2027451021253389,0.9596601500599375,0,0,1.6318325275315606,2.6040877198487498,CCND3;RRM1;DOCK8;CPOX;TMPO
1954,Mouse_Gene_Atlas,neuro2a,5/425,0.2188594863564817,0.9711889707068876,0,0,1.5842302674494455,2.406961237097965,RPA3;HAND2;TSPAN18;RPL22;MEST
1955,Mouse_Gene_Atlas,macrophage peri LPS thio 0hrs,4/353,0.2772779151963113,0.999995709584763,0,0,1.520378925209052,1.9502432177685771,AHNAK;MAN2B1;AIG1;CNNM3
1956,Mouse_Gene_Atlas,nih 3T3,3/252,0.296694943230299,0.999995709584763,0,0,1.595571475089547,1.9387003896167485,EEF1D;CRABP1;TMPO
1957,Mouse_Gene_Atlas,bone,2/157,0.3325778954160996,0.999995709584763,0,0,1.7054773760554232,1.8775279366568365,CCND3;CPOX
1958,Mouse_Gene_Atlas,thymocyte DP CD4+CD8+,4/410,0.3744303941855142,0.999995709584763,0,0,1.3031064642605812,1.2801057967771985,CCND3;RRM1;OSGEP;TMPO
1959,Mouse_Gene_Atlas,pituitary,3/294,0.3832041866247893,0.999995709584763,0,0,1.362357202563388,1.3067557370005514,PEG3;MEST;DLK1
1960,Mouse_Gene_Atlas,stem cells  HSC,2/186,0.4108192809558985,0.999995709584763,0,0,1.4345637583892616,1.2761905976332573,NCL;SERBP1
1961,Mouse_Gene_Atlas,skeletal muscle,6/710,0.4483688682541993,0.999995709584763,0,0,1.1252938871473357,0.902642134395237,DRAP1;ACTC1;PDF;AHNAK;G3BP1;NDUFS4
1962,Mouse_Gene_Atlas,mammary gland non-lactating,2/201,0.4495431570818821,0.999995709584763,0,0,1.3254190415163063,1.0597035628506033,CSRP3;MYH7
