,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
2169,WikiPathways_2024_Mouse,Cytoplasmic Ribosomal Proteins WP163,17/81,8.736772260994063e-17,6.8146823635753686e-15,0,0,23.354840959821427,863.578075929918,RPL4;RPL32;RPLP1;RPS5;RPLP0;RPL22;RPL8;RPL34-PS1;RPS15;RPS26;RPS14;RPS18;RPL26;RPS2;RPL29;RPL18;RPS21
2170,WikiPathways_2024_Mouse,mRNA Processing WP310,18/444,7.973561632034948e-06,0.000310968903649363,0,0,3.663171856249605,43.00336380730937,SF3B2;RPL32;RPL22;HNRNPU;PCOLCE;RPL8;HNRNPL;RPS14;SNRPD2;SNRNP70;NCL;HNRNPA2B1;RNPEP;SRSF2;SRSF4;ACO1;RPL26;SRSF9
2171,WikiPathways_2024_Mouse,GDNF RET Signaling Axis WP4820,3/23,0.0025606662390908,0.0665773222163631,0,0,12.440546218487397,74.23880784269058,SALL1;CTNNB1;SOX11
2172,WikiPathways_2024_Mouse,Electron Transport Chain WP295,5/93,0.0053616366286592,0.0905318128645366,0,0,4.735891756548536,24.76154379085691,COX8A;COX7B;CYTB;COX6C;UQCRH
2173,WikiPathways_2024_Mouse,Amino Acid Metabolism WP662,5/95,0.0058632296326305,0.0905318128645366,0,0,4.63017890772128,23.794742656092907,LARS2;LDHA;MDH1;GSTA4;ARG1
2174,WikiPathways_2024_Mouse,Spinal Cord Injury WP2432,5/99,0.0069639856049643,0.0905318128645366,0,0,4.432248467363866,22.014992870822315,GJA1;COL4A1;ARG1;VIM;RHOA
2175,WikiPathways_2024_Mouse,Alpha 6 Beta 4 Integrin Signaling Pathway WP488,4/66,0.0082679281102491,0.0921283417999186,0,0,5.361916428474207,25.712380326429493,YWHAE;SFN;VIM;RHOA
2176,WikiPathways_2024_Mouse,Burn Wound Healing WP5056,2/15,0.0136923075003939,0.1334999981288408,0,0,12.710653363373028,54.54041071381566,COL1A1;GJA1
2177,WikiPathways_2024_Mouse,Glycolysis And Gluconeogenesis WP157,3/49,0.0211934551008945,0.183676610874419,0,0,5.401808549506759,20.818909743268375,LDHA;MDH1;ALDOA
2178,WikiPathways_2024_Mouse,Mechanisms Associated With Pluripotency WP1763,8/290,0.024760011831812,0.1931280922881339,0,0,2.3714120476060025,8.770727581205904,SALL1;PARP1;TRIM28;INSR;NCL;CTR9;HNRNPU;CTNNB1
2179,WikiPathways_2024_Mouse,Myometrial Relaxation And Contraction Pathways WP385,5/149,0.034534962362404,0.2343469028012823,0,0,2.885916902071563,9.713370239686508,YWHAE;GJA1;YWHAQ;PLCG2;SFN
2180,WikiPathways_2024_Mouse,Comprehensive IL 17A Signaling WP5242,4/103,0.0360533696617357,0.2343469028012823,0,0,3.35166006052082,11.136745049193175,COL1A1;NASP;SNAI1;RHOA
2181,WikiPathways_2024_Mouse,Primary Focal Segmental Glomerulosclerosis FSGS WP2573,3/71,0.0543386978875086,0.3260321873250519,0,0,3.6500865051903113,10.630944975187829,YWHAQ;CTNNB1;VIM
2182,WikiPathways_2024_Mouse,Peroxiredoxin 2 Induced Ovarian Failure WP4835,1/7,0.0813727295550968,0.4533623503783965,0,0,13.717361111111112,34.41295067526482,PRDX2
2183,WikiPathways_2024_Mouse,Wnt Signaling In Kidney Disease WP3857,2/43,0.0946819034058682,0.4578934835755838,0,0,4.0244922951321564,9.486663595294312,CTNNB1;RHOA
2184,WikiPathways_2024_Mouse,Calcium Regulation In Cardiac Cells WP553,4/144,0.0966359234177577,0.4578934835755838,0,0,2.365159734779988,5.526916452749154,YWHAE;GJA1;YWHAQ;SFN
2185,WikiPathways_2024_Mouse,Oxidative Stress And Redox Pathway WP4466,3/92,0.0997972977023708,0.4578934835755838,0,0,2.7858559153998677,6.420323027017353,PRDX2;GPX1;GSTA4
2186,WikiPathways_2024_Mouse,Translation Factors WP307,2/48,0.113833387206336,0.468802444288213,0,0,3.586137893396398,7.792747268571022,EIF5A;EEF1A1
2187,WikiPathways_2024_Mouse,Osteoblast Signaling WP238,1/10,0.1141954671984108,0.468802444288213,0,0,9.14351851851852,19.840005818533104,COL1A1
2188,WikiPathways_2024_Mouse,Ptf1a Related Regulatory Pathway WP201,1/11,0.1248747347838204,0.4821139949277936,0,0,8.22875,17.119454929894243,CTNNB1
2189,WikiPathways_2024_Mouse,Cholesterol Metabolism W Bloch And Kandutsch Russell Pathways WP4346,2/52,0.129799921711329,0.4821139949277936,0,0,3.2985774058577406,6.734906959591368,DHCR24;LBR
2190,WikiPathways_2024_Mouse,Wnt Signaling Pathway WP539,3/108,0.1417819062115525,0.4892621667591039,0,0,2.3594237695078033,4.609052399889545,SALL1;CTNNB1;RHOA
2191,WikiPathways_2024_Mouse,Hypoxia Dependent Self Renewal Of Myoblasts WP5023,1/13,0.1458501397137932,0.4892621667591039,0,0,6.856597222222222,13.20015384088841,HSP90B1
2192,WikiPathways_2024_Mouse,Iron Homeostasis WP1596,1/14,0.1561493249331138,0.4892621667591039,0,0,6.328846153846154,11.75230351585194,FTH1
2193,WikiPathways_2024_Mouse,EGFR1 Signaling Pathway WP572,4/175,0.1612259648126712,0.4892621667591039,0,0,1.933328398351716,3.5282245476066434,EEF1A1;GJA1;SNRPD2;PLCG2
2194,WikiPathways_2024_Mouse,Wnt Signaling WP403,2/60,0.1630873889197013,0.4892621667591039,0,0,2.842446977348146,5.154689743330804,CTNNB1;RHOA
2195,WikiPathways_2024_Mouse,GPCRs Orphan WP1398,1/18,0.1961240032581613,0.5463454376477352,0,0,4.838725490196079,7.882323259714166,TPRA1
2196,WikiPathways_2024_Mouse,Leptin Insulin Signaling Overlap WP578,1/18,0.1961240032581613,0.5463454376477352,0,0,4.838725490196079,7.882323259714166,INSR
2197,WikiPathways_2024_Mouse,Glutathione Metabolism WP164,1/19,0.2058194210572625,0.5535832704298786,0,0,4.569675925925926,7.223543055803272,GPX1
2198,WikiPathways_2024_Mouse,Oxylipins Pathways WP5140,1/21,0.2248622831356041,0.5585038233441904,0,0,4.112291666666667,6.136637720663963,GPX1
2199,WikiPathways_2024_Mouse,Selenium Micronutrient Network WP1272,1/22,0.234212496873674,0.5585038233441904,0,0,3.916269841269841,5.684569335938636,GPX1
2200,WikiPathways_2024_Mouse,Hedgehog Signaling Pathway WP116,1/22,0.234212496873674,0.5585038233441904,0,0,3.916269841269841,5.684569335938636,IGF2
2201,WikiPathways_2024_Mouse,Metapathway Biotransformation WP1251,3/140,0.2385394997228557,0.5585038233441904,0,0,1.8053732441881865,2.5874977001413506,GPX1;GSTA4;CYP2S1
2202,WikiPathways_2024_Mouse,Folic Acid Network WP1273,1/23,0.2434503845346471,0.5585038233441904,0,0,3.738068181818182,5.281300162864619,GPX1
2203,WikiPathways_2024_Mouse,MicroRNAs In Cardiomyocyte Hypertrophy WP1560,2/83,0.2642817773849947,0.5821542868735791,0,0,2.0329562477400693,2.70533499047094,CTNNB1;RHOA
2204,WikiPathways_2024_Mouse,Dysregulated miRNA Targeting In Insulin PI3K AKT Signaling WP3855,1/26,0.2705034496709293,0.5821542868735791,0,0,3.289,4.30027023714761,COL1A1
2205,WikiPathways_2024_Mouse,Eicosanoid Metabolism Via Lipoxygenases LOX WP4348,1/27,0.2793053123014996,0.5821542868735791,0,0,3.162339743589744,4.033405549715393,GPX1
2206,WikiPathways_2024_Mouse,Oxidative Stress Response WP412,1/28,0.2880014097752928,0.5821542868735791,0,0,3.0450617283950616,3.7904620959693944,GPX1
2207,WikiPathways_2024_Mouse,Prostaglandin Synthesis And Regulation WP374,1/30,0.3050813569868761,0.5821542868735791,0,0,2.8347701149425286,3.3653732960059792,ANXA2
2208,WikiPathways_2024_Mouse,Inflammatory Response Pathway WP458,1/30,0.3050813569868761,0.5821542868735791,0,0,2.8347701149425286,3.3653732960059792,COL1A1
2209,WikiPathways_2024_Mouse,Glutathione And One Carbon Metabolism WP730,1/31,0.3134676929319271,0.5821542868735791,0,0,2.7401388888888887,3.1787227164692067,GPX1
2210,WikiPathways_2024_Mouse,TCA Cycle WP434,1/31,0.3134676929319271,0.5821542868735791,0,0,2.7401388888888887,3.1787227164692067,MDH1
2211,WikiPathways_2024_Mouse,Wnt Signaling Pathway And Pluripotency WP723,2/97,0.3265932625239683,0.5867628471047726,0,0,1.7321294868971593,1.938321709523456,CTNNB1;RHOA
2212,WikiPathways_2024_Mouse,Neural Crest Differentiation WP2074,2/99,0.3354061765477893,0.5867628471047726,0,0,1.696242936634603,1.8529978593858152,SNAI1;CTNNB1
2213,WikiPathways_2024_Mouse,Focal Adhesion PI3K Akt mTOR Signaling Pathway WP2841,5/322,0.3473918575139071,0.5867628471047726,0,0,1.2993904721167726,1.3738479679851392,COL1A1;HSP90AB1;COL4A1;INSR;HSP90B1
2214,WikiPathways_2024_Mouse,FAS Pathway And Stress Induction Of HSP Regulation WP571,1/36,0.3539114019194966,0.5867628471047726,0,0,2.348095238095238,2.4389868917428545,PARP1
2215,WikiPathways_2024_Mouse,G13 Signaling Pathway WP298,1/38,0.36941642212767,0.5867628471047726,0,0,2.220945945945946,2.211686280353484,RHOA
2216,WikiPathways_2024_Mouse,Retinol Metabolism WP1259,1/39,0.3770294055797137,0.5867628471047726,0,0,2.162390350877193,2.109264951657486,CRABP1
2217,WikiPathways_2024_Mouse,Oxidation By Cytochrome P450 WP1274,1/40,0.3845508546415949,0.5867628471047726,0,0,2.106837606837607,2.0134609566604342,CYP2S1
