,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
2055,WikiPathways_2024_Mouse,Cytoplasmic Ribosomal Proteins WP163,18/81,2.637602924565355e-20,1.7935699887044415e-18,0,0,33.99827882960413,1532.7046719889893,RPL4;RPL41;RPL3;RPL32;RPS8;RPLP1;RPS5;RPLP0;RPL22;RPL8;RPL34-PS1;RPS15;RPS26;RPS14;RPL26;RPL29;RPS21;RPL19
2056,WikiPathways_2024_Mouse,mRNA Processing WP310,13/444,0.0002481977850815887,0.008438724692774,0,0,3.419288747778185,28.384489056203297,NPM1;DDX3X;RPL32;RPL22;RPL8;AIMP1;RPS14;NCL;G3BP1;RPL26;TXNL4A;EIF4G2;RPL19
2057,WikiPathways_2024_Mouse,Comprehensive IL 17A Signaling WP5242,6/103,0.0003817802633661442,0.0086536859696326,0,0,6.852426734622958,53.93315760642226,NPM1;NASP;SERBP1;ANXA6;MKI67;MMP9
2058,WikiPathways_2024_Mouse,Translation Factors WP307,4/48,0.0009835708297284175,0.016720704105383,0,0,9.985858585858583,69.14528935746344,EIF5A;EEF1G;EEF1A1;EIF4G2
2059,WikiPathways_2024_Mouse,Prostaglandin Synthesis And Regulation WP374,3/30,0.0025905984411995,0.0293643070747308,0,0,12.147943523634131,72.35152831629443,ANXA2;ANXA5;ANXA6
2060,WikiPathways_2024_Mouse,Myometrial Relaxation And Contraction Pathways WP385,6/149,0.0025909682712997,0.0293643070747308,0,0,4.637306513711008,27.618515951785696,ATF2;GJA1;ACTC1;IGFBP2;PKIG;ACTB
2061,WikiPathways_2024_Mouse,Primary Focal Segmental Glomerulosclerosis FSGS WP2573,4/71,0.0041698269628412,0.040506890496172,0,0,6.550248756218905,35.89458199980107,PODXL;KRT8;VIM;MKI67
2062,WikiPathways_2024_Mouse,Retinol Metabolism WP1259,3/39,0.0054891366987382,0.0466576619392749,0,0,9.10681399631676,47.400823742712674,RARG;CRABP2;CRABP1
2063,WikiPathways_2024_Mouse,Glycolysis And Gluconeogenesis WP157,3/49,0.010349663976757,0.0729334484923101,0,0,7.123468652414124,32.55995924848499,MDH1;SLC2A1;ALDOA
2064,WikiPathways_2024_Mouse,Electron Transport Chain WP295,4/93,0.010725507131222,0.0729334484923101,0,0,4.925593008739076,22.338207233880688,COX7B;NDUFA5;CYTB;COX6C
2065,WikiPathways_2024_Mouse,Hedgehog Signaling Pathway WP116,2/22,0.0172324556340268,0.1065279075558023,0,0,10.876923076923076,44.17075734548314,SUFU;IGF2
2066,WikiPathways_2024_Mouse,Dysregulated miRNA Targeting In Insulin PI3K AKT Signaling WP3855,2/26,0.0236709057012267,0.1341351323069516,0,0,9.062271062271062,33.924689589281044,RHEB;FASN
