Sample,RNA_Cluster,HiC_Cluster
ME0/ABEC0021.WEC0010004,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010005,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010006,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010007,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010008,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010010,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010011,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010012,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010013,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010014,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010015,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010016,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010017,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010018,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010019,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010020,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010021,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010022,Cluster 1,Noise
ME0/ABEC0021.WEC0010023,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010024,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010025,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010026,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010027,Cluster 1,Noise
ME0/ABEC0021.WEC0010028,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010029,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010030,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010031,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010032,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010033,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010034,Cluster 1,Noise
ME0/ABEC0021.WEC0010035,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010036,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010037,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010038,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010039,Cluster 0,Cluster 1
ME0/ABEC0021.WEC0010040,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010041,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010042,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010043,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010044,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010045,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010046,Cluster 0,Cluster 1
ME0/ABEC0021.WEC0010047,Cluster 0,Noise
ME0/ABEC0021.WEC0010048,Cluster 1,Noise
ME0/ABEC0021.WEC0010049,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010050,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010051,Cluster 1,Noise
ME0/ABEC0021.WEC0010052,Cluster 1,Noise
ME0/ABEC0021.WEC0010053,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010054,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010055,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010056,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010057,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010058,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010059,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010060,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010061,Cluster 1,Noise
ME0/ABEC0021.WEC0010062,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010063,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010064,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010065,Cluster 1,Noise
ME0/ABEC0021.WEC0010066,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010067,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010068,Cluster 1,Noise
ME0/ABEC0021.WEC0010069,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010070,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010071,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010072,Cluster 0,Cluster 1
ME0/ABEC0021.WEC0010073,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010074,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010075,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010076,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010077,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010078,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010079,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010080,Cluster 1,Noise
ME0/ABEC0021.WEC0010081,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010082,Cluster 1,Noise
ME0/ABEC0021.WEC0010083,Cluster 0,Cluster 1
ME0/ABEC0021.WEC0010084,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010085,Cluster 1,Noise
ME0/ABEC0021.WEC0010086,Cluster 0,Noise
ME0/ABEC0021.WEC0010087,Cluster 1,Noise
ME0/ABEC0021.WEC0010088,Cluster 1,Noise
ME0/ABEC0021.WEC0010089,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010090,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010091,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010092,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010093,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010094,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010095,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010101,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010102,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010103,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010105,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010106,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010107,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010109,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010110,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010111,Cluster 1,Noise
ME0/ABEC0021.WEC0010112,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010113,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010114,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010115,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010116,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010117,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010118,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010119,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010120,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010121,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010122,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010123,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010124,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010125,Cluster 0,Cluster 1
ME0/ABEC0021.WEC0010126,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010127,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010128,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010129,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010130,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010132,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010133,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010134,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010135,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010136,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010137,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010138,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010139,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010140,Cluster 1,Noise
ME0/ABEC0021.WEC0010141,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010142,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010143,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010144,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010145,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010146,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010147,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010148,Cluster 1,Noise
ME0/ABEC0021.WEC0010149,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010150,Cluster 1,Noise
ME0/ABEC0021.WEC0010151,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010152,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010153,Cluster 1,Noise
ME0/ABEC0021.WEC0010154,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010155,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010156,Cluster 1,Noise
ME0/ABEC0021.WEC0010157,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010158,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010159,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010160,Cluster 0,Cluster 1
ME0/ABEC0021.WEC0010161,Cluster 1,Noise
ME0/ABEC0021.WEC0010162,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010163,Cluster 1,Noise
ME0/ABEC0021.WEC0010164,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010166,Cluster 1,Noise
ME0/ABEC0021.WEC0010167,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010168,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010169,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010170,Cluster 1,Noise
ME0/ABEC0021.WEC0010171,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010172,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010173,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010174,Cluster 1,Noise
ME0/ABEC0021.WEC0010175,Cluster 1,Noise
ME0/ABEC0021.WEC0010176,Cluster 1,Noise
ME0/ABEC0021.WEC0010177,Cluster 1,Noise
ME0/ABEC0021.WEC0010178,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010179,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010181,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010182,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010183,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010184,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010185,Cluster 1,Noise
ME0/ABEC0021.WEC0010187,Cluster 1,Noise
ME0/ABEC0021.WEC0010188,Cluster 1,Noise
ME0/ABEC0021.WEC0010189,Cluster 1,Noise
ME0/ABEC0021.WEC0010190,Cluster 1,Cluster 1
ME0/ABEC0021.WEC0010191,Cluster 1,Noise
ME0/ABEC0021.WEC0010192,Cluster 1,Cluster 1
ME0/ABEC0022.WEC0010193,Cluster 1,Noise
ME0/ABEC0022.WEC0010194,Cluster 1,Noise
ME0/ABEC0022.WEC0010195,Cluster 1,Noise
ME0/ABEC0022.WEC0010196,Cluster 1,Noise
ME0/ABEC0022.WEC0010197,Cluster 1,Cluster 2
ME0/ABEC0022.WEC0010198,Cluster 1,Noise
ME0/ABEC0022.WEC0010199,Cluster 0,Noise
ME0/ABEC0022.WEC0010200,Cluster 1,Noise
ME0/ABEC0022.WEC0010201,Cluster 1,Noise
ME0/ABEC0022.WEC0010202,Cluster 1,Cluster 1
ME0/ABEC0022.WEC0010203,Cluster 1,Noise
ME0/ABEC0022.WEC0010204,Cluster 0,Noise
ME0/ABEC0022.WEC0010205,Cluster 1,Noise
ME0/ABEC0022.WEC0010206,Cluster 1,Noise
ME0/ABEC0022.WEC0010207,Cluster 1,Noise
ME0/ABEC0022.WEC0010208,Cluster 1,Noise
ME0/ABEC0022.WEC0010209,Cluster 1,Cluster 2
ME0/ABEC0022.WEC0010210,Cluster 1,Noise
ME0/ABEC0022.WEC0010211,Cluster 1,Cluster 2
ME0/ABEC0022.WEC0010212,Cluster 1,Noise
ME0/ABEC0022.WEC0010213,Cluster 1,Noise
ME0/ABEC0022.WEC0010214,Cluster 1,Cluster 1
ME0/ABEC0022.WEC0010215,Cluster 1,Noise
ME0/ABEC0022.WEC0010216,Cluster 1,Noise
ME0/ABEC0022.WEC0010217,Cluster 1,Noise
ME0/ABEC0022.WEC0010218,Cluster 1,Noise
ME0/ABEC0022.WEC0010219,Cluster 1,Noise
ME0/ABEC0022.WEC0010220,Cluster 1,Noise
ME0/ABEC0022.WEC0010221,Cluster 1,Noise
ME0/ABEC0022.WEC0010222,Cluster 1,Noise
ME0/ABEC0022.WEC0010223,Cluster 1,Noise
ME0/ABEC0022.WEC0010224,Cluster 1,Noise
ME0/ABEC0022.WEC0010225,Cluster 1,Noise
ME0/ABEC0022.WEC0010226,Cluster 0,Noise
ME0/ABEC0022.WEC0010227,Cluster 1,Noise
ME0/ABEC0022.WEC0010228,Cluster 1,Noise
ME0/ABEC0022.WEC0010229,Cluster 1,Noise
ME0/ABEC0022.WEC0010230,Cluster 1,Noise
ME0/ABEC0022.WEC0010231,Cluster 1,Noise
ME0/ABEC0022.WEC0010232,Cluster 1,Cluster 2
ME0/ABEC0022.WEC0010233,Cluster 1,Noise
ME0/ABEC0022.WEC0010234,Cluster 0,Noise
ME0/ABEC0022.WEC0010235,Cluster 1,Noise
ME0/ABEC0022.WEC0010236,Cluster 1,Noise
ME0/ABEC0022.WEC0010237,Cluster 1,Noise
ME0/ABEC0022.WEC0010238,Cluster 1,Noise
ME0/ABEC0022.WEC0010239,Cluster 1,Noise
ME0/ABEC0022.WEC0010240,Cluster 1,Cluster 2
ME0/ABEC0022.WEC0010241,Cluster 1,Noise
ME0/ABEC0022.WEC0010242,Cluster 1,Cluster 2
ME0/ABEC0022.WEC0010243,Cluster 1,Noise
ME0/ABEC0022.WEC0010244,Cluster 1,Cluster 2
ME0/ABEC0022.WEC0010245,Cluster 1,Noise
ME0/ABEC0022.WEC0010246,Cluster 1,Cluster 2
ME0/ABEC0022.WEC0010247,Cluster 1,Noise
ME0/ABEC0022.WEC0010248,Cluster 1,Cluster 2
ME0/ABEC0022.WEC0010249,Cluster 1,Cluster 2
ME0/ABEC0022.WEC0010250,Cluster 1,Cluster 2
ME0/ABEC0022.WEC0010251,Cluster 1,Cluster 2
ME0/ABEC0022.WEC0010252,Cluster 1,Cluster 2
ME0/ABEC0022.WEC0010253,Cluster 1,Cluster 2
ME0/ABEC0022.WEC0010255,Cluster 1,Cluster 2
