Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
HDSigDB_Mouse_2021	eVLMC Embryonic Vascular And Leptomeningeal Cell-Enriched Genes PMID30078729	1.391481e-15	2.519973e-12	0	0	3.941454e+00	1.348309e+02	RPL4;YWHAE;COX7B;TNFAIP8;SPARC;ARL6IP1;RPLP1;RPL8;ACTB;CCND3;CSRP3;TUBB5;MDK;FTH1;GRB10;TMPO;EIF5A;TLE4;ACTR2;RPS9;ANXA2;PEG3;CSNK2A1;RPS5;COG4;RPL22;SENP3;PDIA6;COPZ1;EEF1A1;EEF1D;NDUFS4;FKBP9;PPIG;PFN1;DCTPP1;SNRPA;BEX1;CRABP2;AHNAK;CRABP1;BTF3L4;SLC41A1;CRIP2;G3BP1;IGF2BP1;POLR2G;MEST;UBQLN4;RPL41;RRM1;IGF2;COX6C;RPL34-PS1;HSPE1;ZWINT;DLK1;RPS26;DRAP1;H19;ARMC10;NEDD4;RPA3;SERBP1;VPS41;NDUFAB1;PMP22;RPS20;VIM;RPS21;EZH2
HDSigDB_Mouse_2021	Top Endothelial Cell-Expressed Genes In Humans And Mice PMID29892006	6.593076e-15	5.970031e-12	0	0	5.935620e+00	1.938144e+02	RPL4;YWHAE;COX7B;SPARC;AHNAK;ARL6IP1;RPLP1;SLC2A1;CRIP2;RPL8;ACTB;CDH5;TUBB5;UBB;FTH1;PRDX1;KDR;RPL13;ACTR2;RPL41;RPS9;ANXA2;RPS5;RPL22;COX6C;PDIA6;EEF1A1;NCL;NEDD4;SERBP1;PMP22;ESAM;RPS20;VIM;CYTB;CALM2
HDSigDB_Mouse_2021	NP1a Neural Progenitor Cell-Enriched Genes PMID30078729	1.612921e-13	9.736668e-11	0	0	3.887131e+00	1.144976e+02	RPL4;YWHAE;COX7B;SPARC;ARL6IP1;RPLP1;RPL8;ACTB;CSRP3;TUBB5;MDK;FTH1;GRB10;TMPO;EIF5A;TLE4;ACTR2;RPS9;PEG3;CSNK2A1;RPS5;RPL22;PDIA6;COPZ1;CDC25A;EEF1A1;EEF1D;NDUFS4;PPIG;PFN1;SNRPA;BEX1;BTF3L4;CRIP2;G3BP1;IGF2BP1;POLR2G;MEST;RPL41;IGF2;COX6C;RPL34-PS1;HSPE1;ZWINT;RPS26;DRAP1;H19;NEDD4;RPA3;SERBP1;VPS41;NDUFAB1;RPS20;VIM;RPS21;EZH2
HDSigDB_Mouse_2021	Ribosome Gene Module From Human Brain PMID20616000	1.232935e-12	5.457303e-10	0	0	2.454771e+01	6.731379e+02	RPL4;EEF1A1;RPS9;RPL41;RPLP1;RPL22;RPL13;RPS20;RPL8;RPL29;HSPE1;RPS21
HDSigDB_Mouse_2021	NP1b Neural Progenitor Cell-Enriched Genes PMID30078729	1.506710e-12	5.457303e-10	0	0	3.287842e+00	8.949865e+01	RPL4;YWHAE;COX7B;TNFAIP8;SPARC;ARL6IP1;RPLP1;SLC2A1;CPOX;RPL8;ACTB;CSRP3;TUBB5;MDK;FTH1;GRB10;KDR;TMPO;EIF5A;TLE4;ACTR2;RPS9;ANXA2;PEG3;CSNK2A1;RPS5;COG4;RPL22;SENP3;PDIA6;COPZ1;CDC25A;EEF1A1;EEF1D;DKC1;NDUFS4;SPECC1L;FKBP9;PPIG;PFN1;SNRPA;BEX1;CRABP2;AHNAK;DHX8;BTF3L4;CRIP2;G3BP1;IGF2BP1;MCMBP;POLR2G;MEST;CNNM3;UBQLN4;RPL41;RRM1;WDR18;IGF2;COX6C;RPL34-PS1;HSPE1;ZWINT;RPS26;DRAP1;ARMC10;NEDD4;RPA3;SERBP1;VPS41;NDUFAB1;RPS20;VIM;RPS21;EZH2
HDSigDB_Mouse_2021	PLC Pericyte Lineage Cell-Enriched Genes PMID30078729	2.547317e-12	7.256107e-10	0	0	3.323761e+00	8.873106e+01	RPL4;YWHAE;COX7B;SPARC;ARL6IP1;RPLP1;RPL8;ACTB;CCND3;CSRP3;TUBB5;MDK;FTH1;GRB10;TMPO;EIF5A;TLE4;ACTR2;RPS9;ANXA2;PEG3;CSNK2A1;RPS5;RPL22;PDIA6;COPZ1;EEF1A1;EEF1D;NDUFS4;FKBP9;PPIG;RAPGEF5;PFN1;DCTPP1;BEX1;CRABP2;AHNAK;BTF3L4;CRIP2;FURIN;OSGEP;G3BP1;IGF2BP1;ANO10;MCMBP;POLR2G;MEST;RPL41;IGF2;COX6C;RPL34-PS1;HSPE1;ZWINT;DLK1;RPS26;DRAP1;H19;ARMC10;NEDD4;RPA3;SERBP1;VPS41;NDUFAB1;ESAM;RPS20;VIM;RPS21;EZH2
HDSigDB_Mouse_2021	pnVLMC Post-Natal Vascular And Leptomeningeal Cell-Enriched Genes PMID30078729	2.804680e-12	7.256107e-10	0	0	3.366937e+00	8.955962e+01	RPL4;YWHAE;COX7B;TNFAIP8;SPARC;ARL6IP1;RPLP1;RPL8;ACTB;CDH5;CSRP3;TUBB5;MDK;FTH1;GRB10;TMPO;EIF5A;ACTR2;RPS9;ANXA2;PEG3;CSNK2A1;RPS5;RPL22;PDIA6;COPZ1;CDC25A;EEF1A1;EEF1D;DKC1;NDUFS4;SPECC1L;FKBP9;PPIG;PFN1;SNRPA;BEX1;CRABP2;AHNAK;DHX8;BTF3L4;SLC41A1;G3BP1;IGF2BP1;MCMBP;POLR2G;MEST;RPL41;IGF2;COX6C;RPL34-PS1;HSPE1;ZWINT;RPS26;ARMC10;NEDD4;RPA3;SERBP1;VPS41;NDUFAB1;PMP22;RPS20;VIM;RPS21;EZH2
HDSigDB_Mouse_2021	NP2 Neural Progenitor Cell-Enriched Genes PMID30078729	4.577635e-11	1.036262e-08	0	0	3.039248e+00	7.235614e+01	RPL4;YWHAE;COX7B;SPARC;ARL6IP1;RPLP1;RPL8;ACTB;CSRP3;TUBB5;MDK;FTH1;GRB10;TMPO;TRIM67;EIF5A;TLE4;ACTR2;RPS9;ANXA2;PEG3;CSNK2A1;RPS5;RPL22;SENP3;PDIA6;COPZ1;EEF1A1;FRMD5;EEF1D;DKC1;NDUFS4;SPECC1L;PPIG;PFN1;DCTPP1;SNRPA;BEX1;CRABP2;DHX8;CRABP1;BTF3L4;CRIP2;G3BP1;IGF2BP1;MCMBP;POLR2G;MEST;UBQLN4;RPL41;RRM1;IGF2;COX6C;RPL34-PS1;HSPE1;ZWINT;DLK1;RPS26;DRAP1;H19;ARMC10;NEDD4;RPA3;SERBP1;VPS41;NDUFAB1;RPS20;HOXD4;VIM;RPS21;EZH2
HDSigDB_Mouse_2021	VLMC Vascular And Leptomeningeal Cell-Enriched Genes PMID30078729	9.808654e-11	1.973719e-08	0	0	3.591417e+00	8.276482e+01	RPL4;YWHAE;COX7B;SPARC;AHNAK;ARL6IP1;RPLP1;BTF3L4;SLC41A1;CRIP2;RPL8;ACTB;CCND3;CSRP3;TUBB5;MDK;FTH1;G3BP1;MEST;ACTR2;RPL41;RPS9;ANXA2;PEG3;CSNK2A1;RPS5;RPL22;IGF2;COX6C;RPL34-PS1;HSPE1;PDIA6;COPZ1;RPS26;EEF1A1;EEF1D;NEDD4;SERBP1;NDUFS4;PMP22;RPS20;VIM;FKBP9;PFN1;RPS21
HDSigDB_Mouse_2021	Top Microglia-Expressed Genes In Humans And Mice PMID29892006	2.415825e-10	4.244998e-08	0	0	4.711448e+00	1.043294e+02	RPL4;YWHAE;SPARC;ARL6IP1;RPLP1;DOCK8;RPL8;ACTB;TUBB5;UBB;FTH1;PRDX1;RPL13;ACTR2;RPL41;RPS9;RPS5;RPL22;HSPE1;PDIA6;EEF1A1;NCL;SERBP1;PMP22;RPS20;MAN2B1;CYTB;PPIG;CALM2
