Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Mouse_Gene_Atlas	embryonic stem line Bruce4 p13	19/876	4.738905e-04	3.506789e-02	0	0	2.547442e+00	1.949948e+01	SUPT16H;RARG;ANXA2;TCF15;PARP1;HSPA4;H2AFX;BCCIP;NUBP1;STIP1;TCOF1;NASP;DKC1;MDK;EIF3L;NCL;C1QBP;EXOC3L;RRP15
Mouse_Gene_Atlas	lung	8/354	1.698818e-02	6.285628e-01	0	0	2.557803e+00	1.042366e+01	CDH5;PLVAP;PODXL;KDR;1810010H24RIK;9830001H06RIK;RASIP1;THBS3
Mouse_Gene_Atlas	embryonic stem line V26 2 p16	12/728	3.716671e-02	6.968471e-01	0	0	1.861115e+00	6.127426e+00	BTBD19;TCOF1;NASP;PARP1;DKC1;HSPA4;MDK;EIF3L;DCAKD;1110001A16RIK;NCL;C1QBP
Mouse_Gene_Atlas	bone marrow	8/413	3.766741e-02	6.968471e-01	0	0	2.178563e+00	7.143422e+00	CAR2;RNASEH2C;ALAS2;IFT140;H2AFX;FKBP4;MKI67;MMP9
Mouse_Gene_Atlas	osteoblast day14	6/301	6.014457e-02	8.901396e-01	0	0	2.230547e+00	6.270076e+00	H19;SFRP1;SPARC;IGFBP2;IGF2;FAM149A
Mouse_Gene_Atlas	heart	9/568	7.990916e-02	8.994972e-01	0	0	1.771664e+00	4.476755e+00	MYL7;ACTC1;NDUFA5;TMEM88;ATP5K;CRIP2;PKIG;COX6C;CRYAB
Mouse_Gene_Atlas	placenta	7/411	8.605806e-02	8.994972e-01	0	0	1.900263e+00	4.660838e+00	CDH5;H19;KRT18;HSPA5;CITED1;UNC50;SLC2A1
Mouse_Gene_Atlas	osteoblast day21	5/264	9.724294e-02	8.994972e-01	0	0	2.109208e+00	4.915600e+00	H19;SFRP1;SPARC;MDK;IGF2
Mouse_Gene_Atlas	umbilical cord	4/208	1.257737e-01	9.997824e-01	0	0	2.136383e+00	4.429303e+00	H19;HBA-X;IGF2;THBS3
Mouse_Gene_Atlas	mega erythrocyte progenitor	8/562	1.478825e-01	9.997824e-01	0	0	1.580407e+00	3.020690e+00	CCT3;RNASEH2C;CNBP;NCL;0610012G03RIK;SERBP1;RPS21;PHB2
Mouse_Gene_Atlas	bone	3/157	1.761438e-01	9.997824e-01	0	0	2.116166e+00	3.674625e+00	CAR2;ALAS2;MKI67
Mouse_Gene_Atlas	T-cells CD8+	3/166	1.969409e-01	9.997824e-01	0	0	1.998407e+00	3.247115e+00	0610007P22RIK;WDR89;EIF4G2
Mouse_Gene_Atlas	thymocyte SP CD8+	2/103	2.448211e-01	9.997824e-01	0	0	2.145033e+00	3.018550e+00	0610007P22RIK;WDR89
Mouse_Gene_Atlas	mammary gland  lact	2/104	2.482255e-01	9.997824e-01	0	0	2.123896e+00	2.959474e+00	CRABP2;CITED4
Mouse_Gene_Atlas	osteoclasts	2/110	2.686747e-01	9.997824e-01	0	0	2.005291e+00	2.635462e+00	PLXND1;MMP9
Mouse_Gene_Atlas	MEF	4/300	2.985021e-01	9.997824e-01	0	0	1.465465e+00	1.771716e+00	BTBD19;MDH1;ANXA6;EIF4G2
Mouse_Gene_Atlas	B-cells GL7negative Alum	4/379	4.619923e-01	9.997824e-01	0	0	1.152059e+00	8.896282e-01	UNC45A;CCT3;UNC50;SNX5
Mouse_Gene_Atlas	osteoblast day5	2/175	4.800536e-01	9.997824e-01	0	0	1.247729e+00	9.156554e-01	BTBD19;IGFBP2
Mouse_Gene_Atlas	follicular B-cells	6/603	4.810631e-01	9.997824e-01	0	0	1.085145e+00	7.940621e-01	PARP1;SUFU;1700030K09RIK;PKIG;PHB2;GAS5
Mouse_Gene_Atlas	stem cells  HSC	2/186	5.122589e-01	9.997824e-01	0	0	1.172480e+00	7.843011e-01	NCL;SERBP1
Mouse_Gene_Atlas	T-cells CD4+	2/191	5.264614e-01	9.997824e-01	0	0	1.141171e+00	7.321493e-01	INADL;EIF4G2
Mouse_Gene_Atlas	Baf3	4/440	5.790268e-01	9.997824e-01	0	0	9.877676e-01	5.397227e-01	ATF2;PODXL;A930005H10RIK;NF1
Mouse_Gene_Atlas	spleen	1/100	6.040875e-01	9.997824e-01	0	0	1.088315e+00	5.485502e-01	A930005H10RIK
Mouse_Gene_Atlas	stomach	2/249	6.702671e-01	9.997824e-01	0	0	8.706233e-01	3.483181e-01	GM98;KRT8
Mouse_Gene_Atlas	mast cells IgE+antigen 1hr	2/265	7.031883e-01	9.997824e-01	0	0	8.169891e-01	2.876868e-01	UNC45A;EXOC3L
Mouse_Gene_Atlas	uterus	1/141	7.295869e-01	9.997824e-01	0	0	7.679938e-01	2.421306e-01	THBS3
Mouse_Gene_Atlas	mast cells IgE+antigen 6hr	1/146	7.418853e-01	9.997824e-01	0	0	7.413228e-01	2.213298e-01	DCAKD
