Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Mouse_Gene_Atlas	placenta	10/411	2.785850e-02	9.999912e-01	0	0	2.089797e+00	7.482763e+00	TEAD4;H19;CDH5;HSPA5;COL4A1;RARRES2;CTR9;ESAM;PVRL2;HSP90B1
Mouse_Gene_Atlas	umbilical cord	6/208	4.056975e-02	9.999912e-01	0	0	2.471919e+00	7.921840e+00	COL1A1;HBB-Y;H19;IGF2;MEST;IGF2R
Mouse_Gene_Atlas	B-cells GL7 negative KLH	6/212	4.381666e-02	9.999912e-01	0	0	2.423425e+00	7.579846e+00	SMU1;COX8A;CCT3;CPNE3;WBP11;CCDC94
Mouse_Gene_Atlas	lung	8/354	6.562270e-02	9.999912e-01	0	0	1.926418e+00	5.247243e+00	DOCK6;CDH5;EGFL7;DLC1;ESAM;RASIP1;PPM1F;APLN
Mouse_Gene_Atlas	B-cells GL7negative Alum	8/379	8.895156e-02	9.999912e-01	0	0	1.794292e+00	4.341583e+00	COX8A;CCT3;SF3B2;ANKRD11;WBP11;CCDC94;RHOA;UNG
Mouse_Gene_Atlas	osteoblast day21	6/264	1.006605e-01	9.999912e-01	0	0	1.929837e+00	4.430909e+00	COL1A1;H19;SPARC;MDK;IGF2;PCOLCE
Mouse_Gene_Atlas	embryonic stem line Bruce4 p13	15/876	1.093756e-01	9.999912e-01	0	0	1.456785e+00	3.223818e+00	PRMT7;ANXA2;PARP1;C130036L24RIK;2700094K13RIK;SMU1;LARS2;SALL1;KARS;NASP;TRIM28;MDK;NCL;NHP2;FAM192A
Mouse_Gene_Atlas	bone	4/157	1.220066e-01	9.999912e-01	0	0	2.162764e+00	4.549765e+00	COL1A1;PRDX2;CAR2;LBR
Mouse_Gene_Atlas	olfactory bulb	8/414	1.287170e-01	9.999912e-01	0	0	1.636652e+00	3.355364e+00	NAPB;SALL1;SNRNP70;RASL10B;TMOD3;CRMP1;SOX11;RFNG
Mouse_Gene_Atlas	mammary gland  lact	3/104	1.307822e-01	9.999912e-01	0	0	2.453366e+00	4.990691e+00	MALAT1;FAM108C;APLN
Mouse_Gene_Atlas	osteoclasts	3/110	1.473946e-01	9.999912e-01	0	0	2.315087e+00	4.432563e+00	PLXND1;UBN2;2310035K24RIK
Mouse_Gene_Atlas	osteoblast day5	4/175	1.612260e-01	9.999912e-01	0	0	1.933328e+00	3.528225e+00	ANKRD27;GLIPR2;SNAI1;ARHGAP29
