,UMAP1,UMAP2,Cluster
ME0/ABEC0021.WEC0010004,1.7123567,9.240826,Cluster 1
ME0/ABEC0021.WEC0010005,1.6229786,9.408194,Cluster 1
ME0/ABEC0021.WEC0010006,1.7718105,9.489979,Cluster 1
ME0/ABEC0021.WEC0010007,1.5920421,9.370435,Cluster 1
ME0/ABEC0021.WEC0010008,1.6730001,9.232736,Cluster 1
ME0/ABEC0021.WEC0010010,1.5709212,9.293598,Cluster 1
ME0/ABEC0021.WEC0010011,1.5766376,9.480407,Cluster 1
ME0/ABEC0021.WEC0010012,1.6860799,9.346932,Cluster 1
ME0/ABEC0021.WEC0010013,1.5197943,9.511124,Cluster 1
ME0/ABEC0021.WEC0010014,1.46654,8.5823345,Cluster 1
ME0/ABEC0021.WEC0010015,1.5903033,9.347121,Cluster 1
ME0/ABEC0021.WEC0010016,1.4862617,9.395354,Cluster 1
ME0/ABEC0021.WEC0010017,1.6824423,9.44514,Cluster 1
ME0/ABEC0021.WEC0010018,1.5917126,9.263091,Cluster 1
ME0/ABEC0021.WEC0010019,1.3892491,9.11319,Cluster 1
ME0/ABEC0021.WEC0010020,1.5864877,9.23106,Cluster 1
ME0/ABEC0021.WEC0010021,1.5265712,9.115499,Cluster 1
ME0/ABEC0021.WEC0010022,1.3482643,9.194375,Noise
ME0/ABEC0021.WEC0010023,1.5022082,9.30473,Cluster 1
ME0/ABEC0021.WEC0010024,1.394613,9.178941,Cluster 1
ME0/ABEC0021.WEC0010025,1.4078454,8.360705,Cluster 1
ME0/ABEC0021.WEC0010026,1.630022,9.296971,Cluster 1
ME0/ABEC0021.WEC0010027,3.9712284,2.2297585,Noise
ME0/ABEC0021.WEC0010028,1.5465344,8.898035,Cluster 1
ME0/ABEC0021.WEC0010029,1.5513793,8.854774,Cluster 1
ME0/ABEC0021.WEC0010030,1.4764346,9.19368,Cluster 1
ME0/ABEC0021.WEC0010031,1.5379419,8.948996,Cluster 1
ME0/ABEC0021.WEC0010032,1.5794513,9.216075,Cluster 1
ME0/ABEC0021.WEC0010033,1.7725332,8.291554,Cluster 1
ME0/ABEC0021.WEC0010034,3.8459902,2.1459134,Noise
ME0/ABEC0021.WEC0010035,1.537847,9.053982,Cluster 1
ME0/ABEC0021.WEC0010036,1.6047388,8.634847,Cluster 1
ME0/ABEC0021.WEC0010037,1.6195638,9.05332,Cluster 1
ME0/ABEC0021.WEC0010038,1.648561,8.964578,Cluster 1
ME0/ABEC0021.WEC0010039,1.521907,9.103231,Cluster 1
ME0/ABEC0021.WEC0010040,1.3958141,8.896149,Cluster 1
ME0/ABEC0021.WEC0010041,1.7800918,8.550388,Cluster 1
ME0/ABEC0021.WEC0010042,1.529612,8.90558,Cluster 1
ME0/ABEC0021.WEC0010043,1.9060417,7.999738,Cluster 1
ME0/ABEC0021.WEC0010044,1.634425,8.767553,Cluster 1
ME0/ABEC0021.WEC0010045,1.5989509,8.840684,Cluster 1
ME0/ABEC0021.WEC0010046,1.7373087,8.494318,Cluster 1
ME0/ABEC0021.WEC0010047,3.4980247,2.0576243,Noise
ME0/ABEC0021.WEC0010048,3.2364793,2.0597796,Noise
ME0/ABEC0021.WEC0010049,1.5890739,9.105173,Cluster 1
ME0/ABEC0021.WEC0010050,1.8312032,9.006063,Cluster 1
ME0/ABEC0021.WEC0010051,2.7560914,1.9719309,Noise
ME0/ABEC0021.WEC0010052,3.6882892,2.242025,Noise
ME0/ABEC0021.WEC0010053,1.6267608,8.869502,Cluster 1
ME0/ABEC0021.WEC0010054,1.7762079,8.1532345,Cluster 1
ME0/ABEC0021.WEC0010055,1.5704001,8.921298,Cluster 1
ME0/ABEC0021.WEC0010056,1.8232005,8.408619,Cluster 1
ME0/ABEC0021.WEC0010057,2.0426123,8.2894125,Cluster 1
ME0/ABEC0021.WEC0010058,1.8430424,8.347386,Cluster 1
ME0/ABEC0021.WEC0010059,1.713311,8.800703,Cluster 1
ME0/ABEC0021.WEC0010060,2.2717156,8.210568,Cluster 1
ME0/ABEC0021.WEC0010061,3.227387,1.9915103,Noise
ME0/ABEC0021.WEC0010062,1.9003531,8.494473,Cluster 1
ME0/ABEC0021.WEC0010063,1.613829,8.768006,Cluster 1
ME0/ABEC0021.WEC0010064,1.7916292,8.406972,Cluster 1
ME0/ABEC0021.WEC0010065,3.6019623,2.1060262,Noise
ME0/ABEC0021.WEC0010066,2.2568057,7.610361,Cluster 1
ME0/ABEC0021.WEC0010067,1.9203087,8.289296,Cluster 1
