,UMAP1,UMAP2,Cluster
ME0/ABEC0021.WEC0010004,16.965702,6.1355214,Cluster 1
ME0/ABEC0021.WEC0010005,16.927626,6.0275593,Cluster 1
ME0/ABEC0021.WEC0010006,14.090155,1.9933671,Cluster 1
ME0/ABEC0021.WEC0010007,17.516233,2.6430428,Cluster 1
ME0/ABEC0021.WEC0010008,15.720255,2.7198408,Cluster 1
ME0/ABEC0021.WEC0010010,12.213892,2.9384673,Cluster 1
ME0/ABEC0021.WEC0010011,11.718546,3.3144372,Cluster 1
ME0/ABEC0021.WEC0010012,11.420271,4.348562,Cluster 1
ME0/ABEC0021.WEC0010013,18.376175,3.3201113,Cluster 1
ME0/ABEC0021.WEC0010014,14.649276,2.0816553,Cluster 1
ME0/ABEC0021.WEC0010015,14.491521,2.0418634,Cluster 1
ME0/ABEC0021.WEC0010016,12.049566,1.7810915,Cluster 1
ME0/ABEC0021.WEC0010017,14.700914,5.5384564,Cluster 1
ME0/ABEC0021.WEC0010018,19.31135,4.3476596,Cluster 1
ME0/ABEC0021.WEC0010019,12.374062,3.3463843,Cluster 1
ME0/ABEC0021.WEC0010020,12.392497,3.2160904,Cluster 1
ME0/ABEC0021.WEC0010021,11.348935,5.5707088,Cluster 1
ME0/ABEC0021.WEC0010022,16.406076,3.4350283,Cluster 1
ME0/ABEC0021.WEC0010023,11.677409,3.3430262,Cluster 1
ME0/ABEC0021.WEC0010024,18.870407,4.653658,Cluster 1
ME0/ABEC0021.WEC0010025,15.276787,1.5148816,Cluster 1
ME0/ABEC0021.WEC0010026,17.426508,3.5024104,Cluster 1
ME0/ABEC0021.WEC0010027,11.563812,3.1330209,Cluster 1
ME0/ABEC0021.WEC0010028,13.244336,4.1611276,Cluster 1
ME0/ABEC0021.WEC0010029,11.743549,3.3023927,Cluster 1
ME0/ABEC0021.WEC0010030,14.895211,5.4112396,Cluster 1
ME0/ABEC0021.WEC0010031,11.258666,5.802287,Cluster 1
ME0/ABEC0021.WEC0010032,11.472785,4.5806665,Cluster 1
ME0/ABEC0021.WEC0010033,13.641,2.7767007,Cluster 1
ME0/ABEC0021.WEC0010034,15.990593,3.5060384,Cluster 1
ME0/ABEC0021.WEC0010035,12.373331,3.400413,Cluster 1
ME0/ABEC0021.WEC0010036,13.076836,4.372004,Cluster 1
ME0/ABEC0021.WEC0010037,13.172179,4.483295,Cluster 1
ME0/ABEC0021.WEC0010038,11.08568,5.6929307,Cluster 1
ME0/ABEC0021.WEC0010039,-5.6994853,9.903048,Cluster 0
ME0/ABEC0021.WEC0010040,17.242874,3.2265053,Cluster 1
ME0/ABEC0021.WEC0010041,17.294424,4.078982,Cluster 1
ME0/ABEC0021.WEC0010042,12.175259,3.494822,Cluster 1
ME0/ABEC0021.WEC0010043,13.895059,4.901575,Cluster 1
ME0/ABEC0021.WEC0010044,11.533466,2.9504292,Cluster 1
ME0/ABEC0021.WEC0010045,16.34158,6.2473907,Cluster 1
ME0/ABEC0021.WEC0010046,-5.684765,9.910151,Cluster 0
ME0/ABEC0021.WEC0010047,-5.6381946,9.978773,Cluster 0
ME0/ABEC0021.WEC0010048,12.779198,2.9624062,Cluster 1
ME0/ABEC0021.WEC0010049,16.47448,4.07388,Cluster 1
ME0/ABEC0021.WEC0010050,14.475397,3.8950937,Cluster 1
ME0/ABEC0021.WEC0010051,14.74779,3.0622241,Cluster 1
ME0/ABEC0021.WEC0010052,16.082209,6.0806756,Cluster 1
ME0/ABEC0021.WEC0010053,17.443733,4.7997756,Cluster 1
ME0/ABEC0021.WEC0010054,12.971494,4.2804027,Cluster 1
ME0/ABEC0021.WEC0010055,13.671974,4.775192,Cluster 1
ME0/ABEC0021.WEC0010056,14.301916,3.3356814,Cluster 1
ME0/ABEC0021.WEC0010057,16.515963,5.924239,Cluster 1
ME0/ABEC0021.WEC0010058,14.848492,5.939379,Cluster 1
ME0/ABEC0021.WEC0010059,14.309082,3.6522405,Cluster 1
ME0/ABEC0021.WEC0010060,11.950787,3.2749207,Cluster 1
ME0/ABEC0021.WEC0010061,14.637565,5.753679,Cluster 1
ME0/ABEC0021.WEC0010062,16.836964,4.3915095,Cluster 1
ME0/ABEC0021.WEC0010063,13.211841,4.3665156,Cluster 1
ME0/ABEC0021.WEC0010064,13.76316,3.2788975,Cluster 1
ME0/ABEC0021.WEC0010065,16.549116,5.7128057,Cluster 1
ME0/ABEC0021.WEC0010066,13.559222,4.572009,Cluster 1
ME0/ABEC0021.WEC0010067,19.232878,4.4463553,Cluster 1
ME0/ABEC0021.WEC0010068,13.896877,2.9106433,Cluster 1
ME0/ABEC0021.WEC0010069,14.255646,4.056251,Cluster 1
ME0/ABEC0021.WEC0010070,16.20125,6.16478,Cluster 1
ME0/ABEC0021.WEC0010071,12.68092,4.239596,Cluster 1
ME0/ABEC0021.WEC0010072,-5.687982,9.914747,Cluster 0
ME0/ABEC0021.WEC0010073,14.723264,3.0939872,Cluster 1
ME0/ABEC0021.WEC0010074,12.545039,3.385991,Cluster 1
ME0/ABEC0021.WEC0010075,12.84165,4.054256,Cluster 1
ME0/ABEC0021.WEC0010076,16.088346,6.2180996,Cluster 1
ME0/ABEC0021.WEC0010077,11.562848,6.016469,Cluster 1
ME0/ABEC0021.WEC0010078,13.962729,4.956621,Cluster 1
ME0/ABEC0021.WEC0010079,14.314077,3.683452,Cluster 1
ME0/ABEC0021.WEC0010080,13.924553,3.3924644,Cluster 1
ME0/ABEC0021.WEC0010081,16.777687,4.1578035,Cluster 1
